Titulo;Descricao;Imagem;Pitch;Yaw;Pano_Destino_ID;poligono_json;Tipo_Poligono_CSS
Corredor;;;-0.211;4.791;corredor_auditorio_pano;;
Parte externa do prédio principal;;;-0.1545;4.9824;predio_principal_pano;;
Corredor;;;-0.1358;1.5972;corredor_bbt_pano;;
Coordenação de ensino;;;-0.5798;3.7809;coordenacao_ensino_pano;;
Secretaria;;;-0.5788;2.5993;secretaria_pano;;
Diretoria;;;-0.2512;1.8706;diretoria_pano;;
Sala de Reuniões;;;-0.1194;1.7367;sala_reunioes_pano;;
Registro escolar;;;-0.1707;4.5309;;;
Banheiros mascilino e feminino;;;-0.1172;1.4685;;;
