Titulo;Descricao;Imagem;Pitch;Yaw;Pano_Destino_ID;poligono_json;Tipo_Poligono_CSS
Corredor;;;-0.18203713;3.78999346;corredor_pano;;
Laboratório de Informática 1;computadores para aulas pratica de informatica, autocad, programacão, processamento de dados e trabalhos e pesquisa dos alunos.;;-0.21044003;4.510985088;lab_info1_pano;;
Laboratório de Informática 2;computadores para aulas praticas de informatica, programação e trabalhos e pesquisa de alunos.;;-0.134237032;0.158521195;;;
Laboratório Eletrotécnica;Este laboratório moderno é o local para aulas práticas de eletrotécnica, eletrônica e física, além de servir como ambiente de pesquisa e desenvolvimento de dispositivos, sensores e prototipagem. Ele contará com um sistema de segurança elétrico moderno na bancadas, atualmente em processo de instalação.;;-0.12355399;1.427676346;lab_eletro_eletronica_pano;;
Laboratório de Tecnologias de Precisão;Este laboratório é voltado para aulas práticas com ferramentas digitais aplicadas ao sensoriamento na agricultura e pecuária. Nele, os alunos têm contato com tecnologias como aeronaves remotamente pilotadas (drones), sensores de clorofila, câmeras multiespectrais e outros tipos de sensores. O espaço também é utilizado para atividades de prototipagem e desenvolvimento de hardware, por meio do uso de placas de desenvolvimento com microcontroladores e microprocessadores, voltadas à criação de soluções tecnológicas para o campo. O laboratório é equipado com estação de solda, impressora 3D e demais recursos que permitem o desenvolvimento de projetos práticos e inovadores.;;-0.166;2.6591;lab_tec_precisao_pano;;
Corredor;;;-0.1038;0.6617;corredor_auditorio_pano;;
