Titulo;Descricao;Imagem;Pitch;Yaw;Pano_Destino_ID;poligono_json;Tipo_Poligono_CSS
Panorama 2;Fitotecnia, Café, Sistema agroflorestal, Casa de mel;;-0.179682036;3.121867748;estufas_pano;;
Panorama 1;Bovinocultura, Mecanização agrícola, Culturas anuais, Fabrica de ração;;-0.05146685;3.128251325;bov_agri_pano;;
Prédio Principal;;;0.047561767;2.310115418;predio_principal_pano;;
Suinocultura;O setor de suinocultura da EPAMIG ITAP atua de forma integrada nas áreas de ensino, pesquisa e extensão rural, com foco no desenvolvimento e validação de tecnologias aplicadas à produção de suínos em condições tropicais. Trabalhando com o sistema de ciclo completo, a unidade permite acompanhar todas as fases da produção — desde a reprodução até a terminação — contribuindo para a formação técnica de estudantes, capacitação de profissionais e disseminação de boas práticas produtivas junto aos suinocultores. A infraestrutura do setor é composta por dois galpões destinados à criação de animais, adaptados para atender às diferentes fases do ciclo produtivo.  A estrutura conta ainda com barreiras sanitárias, fundamentais para o a biosseguridade da granja e do plantel, minimizando riscos de entrada e disseminação de agentes patogênicos e garantindo a saúde dos animais. Complementando o espaço físico, o setor dispõe de um bloco didático com vestiário, sala de aula e laboratório, que oferece suporte às atividades práticas e teóricas. Esse ambiente propicia o desenvolvimento de aulas técnicas, análises laboratoriais e ações de capacitação com foco na aplicação prática do conhecimento gerado.;;-0.484827033;0.100625641;;;
Fruticultura;Atualmente o setor de Fruticultura conta com uma área de aproximadamente 9 hectares, nos quais, são destinadas as atividades de ensino, pesquisa e extensão. Nestas áreas serão implantadas as culturas que constam no Programa Analítico da Disciplina de Fruticultura como citros, abacateiro, abacaxizeiro, goiabeira, mamoeiro, mangueira e maracujazeiro onde serão realizadas atividades práticas voltadas às culturas. Além dessas, a cultura da pitaya já se encontra implantada com uma coleção de aproximadamente 13 variedades no campo e 50 variedades em estufa. No viveiro de mudas do ITAP tem-se também disponíveis 60 mudas de 4 variedades de pessegueiro, 250 mudas de 4 variedades de oliveiras e 50 mudas com 2 variedades de amoreiras. Dentre as espécies frutíferas de clima temperada citadas anteriormente, todas estão sendo avaliadas no viveiro e serão implantadas no campo a partir de outubro de 2025 com o intuito de avaliar sua adaptabilidade na região de Pitangui. No espaço destinado a fruticultura, será implantado também um banco de germoplasma com as mais diferentes frutíferas para diferentes fins, tanto no ensino, como na pesquisa e extensão. ;;;;;polygons/fruticultura.json;segura
Irrigação;O setor conta com sistema de irrigação por gotejamento com diferentes espaçamentos e vazões, sistema de irrigação por microaspersão, irrigação por aspersão fixa e outro sistema móvel, uma estação meteorologica automatica completa para monitoramento do clima e para quantificar o quanto de água aplicar, sensores de solo para tomada de decisão de quando irrigar, sensores de solo para conduvididade eletrica e de temperatura, sistema de fertirrigação, aparelho irrigâmetro para manejo da irrigação. Além disso, terá trados diversos para amostragem de solo, equipamento de medição de conduvididade do solo de arrasto com capacidade de medição em grandes áreas, penetrometro para determinação da compactação de solo.;;;;;polygons/irrigacao.json;azul
