Titulo;Descricao;Imagem;Pitch;Yaw;Pano_Destino_ID;poligono_json;Tipo_Poligono_CSS
Corredor;;;-0.1054;6.1122;corredor_pano;;
Workstation 1;Gabinete ATX Corsair 4000D Airflow branco (CC9011201-WW, Serial: A0HLD32310COLB), memória DDR5 de 16GB (5600MHz, ADATA), placa de vídeo NVIDIA GeForce RTX 4080 Super 16GB (MSI Ventus 3X OC, 912-V511-233), processador Intel Core i9-14900KF 14ª geração (LGA1700, 3.6GHz, 24 núcleos, BX8071514900KF) e SSD M.2 NVMe Kingston NV2 de 2TB (SNV2S/2000G);;-0.6448;5.298;;;
Workstation 2;Workstation Tyar Pro equipada com processador Intel Core i9-13900 (32 threads), memória DDR5 de 64GB, SSD M.2 NVMe PCIe de 4TB, HDD de 4TB (7200 RPM) e placa de vídeo RTX A2000.;;-0.7882;4.5757;;;
Ploter;Utilizada para impressão de mapas, plantas baixas e banners.;;-0.4117;3.3613;;;
