Titulo;Descricao;Imagem;Pitch;Yaw;Pano_Destino_ID
Relógio de sol;Relógio de sol;;-0.7509;6.2637;
Anfiteatro;Anfiteatro;;-0.5223;0.825;
Quadras esportivas;Quadras esportivas;;-0.2468;2.3647;
Vestiários;Vestiários;;-0.284455491;1.910208194;
Estacionamento;Estacionamento;;-0.293565503;0.841391011;
Prédio Principal;Entrar no prédio principal;;-0.447141775;0.981798945;corredor_auditorio_pano
Bovinocultura;O setor de bovinocultura da EPAMIG ITAP é fundamental para o ensino, pesquisa e extensão rural, promovendo a formação técnica de alunos e profissionais do agronegócio. Com foco em sistemas de produção bovina eficientes em condições tropicais, desenvolve projetos inovadores, práticas educativas e pesquisas aplicadas. Também atua na transferência de tecnologias e conhecimentos a produtores, fortalecendo a sustentabilidade e a competitividade da pecuária. Sua infraestrutura inclui compost barn, free stall, confinamento, fábrica de ração, bezerreio, currais, piquetes de pastejo e áreas experimentais, oferecendo suporte completo às atividades práticas e científicas.;;-0.14009632;6.073481174;bov_agri_pano
