Titulo;Descricao;Imagem;Pitch;Yaw;Pano_Destino_ID;poligono_json;Tipo_Poligono_CSS
Corredor;;;-0.258347488;3.368885774;corredor2_pano;;
Labortório de Físico-Química;O Laboratório de Físico-Química está equipado para realizar análises de solos, material vegetal e amostras de origem animal, atendendo às demandas de ensino, pesquisa e extensão. No local, são conduzidos procedimentos voltados, por exemplo, à determinação de parâmetros físico-químicos essenciais, como pH, condutividade elétrica, matéria orgânica, macro e micronutrientes, além de análises bromatológicas em amostras orgânicas e inorgânicas. O ambiente dispõe de infraestrutura adequada para o prepraro de amostras, extrações químicas e quantificações por métodos clássicos e instrumentais, contribuindo para a avaliação da fertilidade do solo, qualidade nutricional de plantas e alimentos de origem animal. O laboratório apoia projetos acadêmicos e técnicos voltados à sustentabilidade na produção agropecuária e ao manejo eficiente dos recursos naturais.;;-0.293573256;4.897270498;lab_fis_qui_pano;;
Laboratório de Microbiologia;O Laboratório de Microbiologia da EPAMIG - ITAP é um espaço técnico-científico moderno, voltado ao ensino, pesquisa e extensão na identificação, caracterização e controle de microrganismos de origem animal, vegetal, ambiental e alimentar. Com infraestrutura equipada para cultivo de micro-organismos (incubadoras microbiológicas, incubadoras orbitais e cabines de fluxo laminar), além de microscópios, centrífugas, bomba a vácuo, homogeneizador de amostras e banho maria) e estrutura para preparação e armazenamento de meios e vidrarias (placas de Petri, tubos, Erlenmeyers etc.), o laboratório permite realizar desde técnicas básicas até testes bioquímicos e bacteriológicos avançados. Ele oferece suporte a aulas práticas, iniciação científica e projetos de pesquisa aplicada, com metodologias padronizadas e cuidados de biossegurança, atendendo também demandas da comunidade externa por meio de análises microbiológicas qualitativas e quantitativas.;;-0.330118823;1.695164707;lab_microbio_pano;;
Laboratório de Biologia Molecular;O Laboratório de Biologia Molecular da EPAMIG ITAP é um espaço técnico-científico voltado ao desenvolvimento de pesquisas aplicadas nas áreasde produção animal e vegetal, genética, nutrição e microbiologia. Equipado com infraestrutura moderna, o laboratório permite a realização de análises moleculares como extração de DNA e RNA, PCR convencional e em tempo real (qPCR), eletroforese e Western blot. O laboratório contribui para a formação de estudantes e profissionais, oferecendo suporte prático às atividades de ensino e capacitação técnica. Ao integrar ferramentas da biologia molecular com demandas produtivas, o laboratório fortalece a interface entre ciência e campo, promovendo avanços na precisão dos diagnósticos e no desenvolvimento de soluções sustentáveis para os sistemas de produção animal e vegetal.;;-0.210789558;6.08479381;lab_bio_mol_pano;;
Corredor;;;-0.1772;0.1941;corredor_copa_pano;;
