Titulo;Descricao;Imagem;Pitch;Yaw;Pano_Destino_ID;poligono_json;Tipo_Poligono_CSS
Laboratório de Biologia;Este laboratório é voltado ao estudo de aspectos da biologia com aplicações na agropecuária. Conta com uma infraestrutura moderna, equipada com microscópios e lupas estereoscópicas de alta qualidade, muitos dos quais estão integrados a computadores e retroprojetores, permitindo análise e projeção de imagens em tempo real.;;-0.437389728;4.459272791;lab_bio_pano;;
Banheiro Feminino;;;-0.192899482;1.308439647;;;
Banheiro Feminino (Acessibilidade);;;-0.320633767;1.695361676;;;
Corredor;;;-0.198186337;2.946798732;corredor5_pano;;
Banheiro Masculido e Banheiro Masculino (Acessibilidade);;;-0.180970636;2.720136087;;;
Corredor;;;-0.3264;6.0984;corredor_copa_pano;;
Sala de cultivo indoor;Laboratório de cultivo indoor avançado (16m²) com estrutura adaptada para trabalhos direcionados para aceleração de cultivo, Speed Breeding, testes lado a lado, estímulos fisiológicos, análise de imagem e desenvolvimento tecnológico para cultivo em ambiente protegido indoor. A tenda de cultivo também permite o isolamento da interferência do ambiente externo. O espaço foi montado no formato modular que permite adaptações para cada segmento de cultivo, além da possibilidade de permitir o isolamento da interferência do ambiente externo, podendo expôr o material em locais abertos com iluminação natural. O Lab indoor avançado visa estudos voltados para soluções  tecnológicas para o cultivo em ambinte protegido, produção extemporânea e o enfrentamento às mudanças climáticas, com materiais e equipamentos adquiridos junto ao projeto PPE00095-23. ;;-0.2288;5.4976;cult_indoor_pano;;
