Titulo;Descricao;Imagem;Pitch;Yaw;Pano_Destino_ID;poligono_json;Tipo_Poligono_CSS
Corredor;;;-0.1165;0.0186;corredor_secretaria_pano;;
Biblioteca;;;-0.2035;5.6167;biblioteca_pano;;
Laboratório de ideias;O Laboratório de Ideias será um ambiente colaborativo voltado à criatividade, experimentação e inovação, onde os alunos terão acesso a equipamentos como bancadas para montagem de circuitos eletrônicos, impressoras 3D, fresas CNC, retroprojetor, quadro de vidro para anotações e mesas modulares que se adaptam a diferentes formatos de trabalho. Projetado para estimular a troca de ideias, estudos em grupo, construção de protótipos e apresentações de projetos, o espaço será futuramente equipado para atender às demandas de diferentes áreas do conhecimento, promovendo o aprendizado prático e multidisciplinar em um ambiente dinâmico e inspirador.;;-0.173;0.2687;lab_ideas_pano;;
Pátio salas de aula;;;-0.1721;3.0143;exterior_salas_pano;;
