Titulo;Descricao;Imagem;Pitch;Yaw;Pano_Destino_ID;poligono_json;Tipo_Poligono_CSS
Corredor;;;-0.134827727;6.051997556;corredor3_pano;;
Jar Test com 6 jarros;É um equipamento de bancada usado para simular, em pequena escala, as etapas de coagulação, floculação e sedimentação que ocorrem em sistemas de tratamento de água e águas residuárias em grande escala.;;-0.4447;2.2807;;;
Purificador de água;Este aparelho utiliza tecnologias de purificação avançadas para produzir água de alta qualidade, ideal para diversas aplicações laboratoriais. Esses sistemas combinam métodos como desionização, osmose reversa e filtração para garantir a remoção de impurezas e contaminantes.;;-0.3818;2.6367;;;
Purificador de água;Este aparelho utiliza tecnologias de purificação avançadas para produzir água de alta qualidade, ideal para diversas aplicações laboratoriais. Esses sistemas combinam métodos como desionização, osmose reversa e filtração para garantir a remoção de impurezas e contaminantes.;;0.0802;4.5547;;;
Espectrofotômetro de bancada;Essencial na caracterização físico química de água e efluentes. Com faixa de 320–1100 nm, resolução de 0,1 nm e, ele quantifica turbidez (0,1–1000 NTU), nutrientes, metais, matéria orgânica e outros íons com alta precisão fotométrica. Apoiando atividades de pesquisa ensino e extensão que envolvam determinação da qualidade da água, preparação de reagentes, monitoramento ambiental, monitoramento de processos biológicos e tratamento de águas residuárias.;;-0.1654;5.5638;;;
